TABNAME,COLNAME,TYPENAME,LENGTH,SCALE,DEFAULT,NULLS
EXPLAIN_ARGUMENT,OPERATOR_ID,INTEGER,4,0,,N
EXPLAIN_ARGUMENT,SECTNO,INTEGER,4,0,,N
EXPLAIN_ARGUMENT,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_ARGUMENT,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_ARGUMENT,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_ARGUMENT,STMTNO,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC,CODE,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC,DIAGNOSTIC_ID,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_DIAGNOSTIC,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_DIAGNOSTIC,SECTNO,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_DIAGNOSTIC,STMTNO,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC_DATA,DIAGNOSTIC_ID,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC_DATA,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_DIAGNOSTIC_DATA,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC_DATA,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_DIAGNOSTIC_DATA,ORDINAL,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC_DATA,SECTNO,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC_DATA,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC_DATA,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_DIAGNOSTIC_DATA,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_DIAGNOSTIC_DATA,STMTNO,INTEGER,4,0,,N
EXPLAIN_DIAGNOSTIC_DATA,TOKEN,VARCHAR,1000,0,,Y
EXPLAIN_DIAGNOSTIC_DATA,TOKEN_LONG,BLOB,3145728,0,,Y
EXPLAIN_INSTANCE,AVG_APPLS,INTEGER,4,0,,N
EXPLAIN_INSTANCE,BLOCK,CHARACTER,1,0,,N
EXPLAIN_INSTANCE,BUFFPAGE,INTEGER,4,0,,N
EXPLAIN_INSTANCE,COMM_SPEED,DOUBLE,8,0,,N
EXPLAIN_INSTANCE,CPU_SPEED,DOUBLE,8,0,,N
EXPLAIN_INSTANCE,DATAJOINER,CHARACTER,1,0,,N
EXPLAIN_INSTANCE,DB2_VERSION,CHARACTER,7,0,,N
EXPLAIN_INSTANCE,DBHEAP,INTEGER,4,0,,N
EXPLAIN_INSTANCE,EXPLAIN_OPTION,CHARACTER,1,0,,N
EXPLAIN_INSTANCE,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_INSTANCE,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_INSTANCE,ISOLATION,CHARACTER,2,0,,N
EXPLAIN_INSTANCE,LOCKLIST,INTEGER,4,0,,N
EXPLAIN_INSTANCE,LOCKS_AVAIL,INTEGER,4,0,,N
EXPLAIN_INSTANCE,MAXLOCKS,SMALLINT,2,0,,N
EXPLAIN_INSTANCE,PARALLELISM,CHARACTER,2,0,,N
EXPLAIN_INSTANCE,QUERYOPT,INTEGER,4,0,,N
EXPLAIN_INSTANCE,REMARKS,VARCHAR,254,0,,Y
EXPLAIN_INSTANCE,SNAPSHOT_TAKEN,CHARACTER,1,0,,N
EXPLAIN_INSTANCE,SORTHEAP,INTEGER,4,0,,N
EXPLAIN_INSTANCE,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_INSTANCE,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_INSTANCE,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_INSTANCE,SQL_TYPE,CHARACTER,1,0,,N
EXPLAIN_OBJECT,ACTIVE_BLOCKS,BIGINT,8,0,,N
EXPLAIN_OBJECT,AVERAGE_RANDOM_FETCH_PAGES,DOUBLE,8,0,,N
EXPLAIN_OBJECT,AVERAGE_RANDOM_PAGES,DOUBLE,8,0,,N
EXPLAIN_OBJECT,AVERAGE_SEQUENCE_FETCH_GAP,DOUBLE,8,0,,N
EXPLAIN_OBJECT,AVERAGE_SEQUENCE_FETCH_PAGES,DOUBLE,8,0,,N
EXPLAIN_OBJECT,AVERAGE_SEQUENCE_GAP,DOUBLE,8,0,,N
EXPLAIN_OBJECT,AVERAGE_SEQUENCE_PAGES,DOUBLE,8,0,,N
EXPLAIN_OBJECT,CLUSTER,DOUBLE,8,0,,N
EXPLAIN_OBJECT,COLUMN_COUNT,SMALLINT,2,0,,N
EXPLAIN_OBJECT,CREATE_TIME,TIMESTAMP,10,6,,Y
EXPLAIN_OBJECT,DENSITY,INTEGER,4,0,,N
EXPLAIN_OBJECT,DISTINCT,CHARACTER,1,0,,N
EXPLAIN_OBJECT,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_OBJECT,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_OBJECT,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_OBJECT,EXTENTSIZE,INTEGER,4,0,,N
EXPLAIN_OBJECT,FIRST2KEYCARD,BIGINT,8,0,,N
EXPLAIN_OBJECT,FIRST3KEYCARD,BIGINT,8,0,,N
EXPLAIN_OBJECT,FIRST4KEYCARD,BIGINT,8,0,,N
EXPLAIN_OBJECT,FIRSTKEYCARD,BIGINT,8,0,,N
EXPLAIN_OBJECT,FULLKEYCARD,BIGINT,8,0,,N
EXPLAIN_OBJECT,NLEAF,INTEGER,4,0,,N
EXPLAIN_OBJECT,NLEVELS,INTEGER,4,0,,N
EXPLAIN_OBJECT,NUMRIDS,BIGINT,8,0,,N
EXPLAIN_OBJECT,NUMRIDS_DELETED,BIGINT,8,0,,N
EXPLAIN_OBJECT,NUM_EMPTY_LEAFS,BIGINT,8,0,,N
EXPLAIN_OBJECT,OBJECT_NAME,VARCHAR,128,0,,N
EXPLAIN_OBJECT,OBJECT_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_OBJECT,OBJECT_TYPE,CHARACTER,2,0,,N
EXPLAIN_OBJECT,OVERFLOW,INTEGER,4,0,,N
EXPLAIN_OBJECT,OVERHEAD,DOUBLE,8,0,,N
EXPLAIN_OBJECT,PAGES,INTEGER,4,0,,N
EXPLAIN_OBJECT,PREFETCHSIZE,INTEGER,4,0,,N
EXPLAIN_OBJECT,ROW_COUNT,BIGINT,8,0,,N
EXPLAIN_OBJECT,SECTNO,INTEGER,4,0,,N
EXPLAIN_OBJECT,SEQUENTIAL_PAGES,INTEGER,4,0,,N
EXPLAIN_OBJECT,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_OBJECT,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_OBJECT,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_OBJECT,STATISTICS_TIME,TIMESTAMP,10,6,,Y
EXPLAIN_OBJECT,STATS_SRC,CHARACTER,1,0,,N
EXPLAIN_OBJECT,STMTNO,INTEGER,4,0,,N
EXPLAIN_OBJECT,TABLESPACE_NAME,VARCHAR,128,0,,Y
EXPLAIN_OBJECT,TRANSFER_RATE,DOUBLE,8,0,,N
EXPLAIN_OBJECT,WIDTH,INTEGER,4,0,,N
EXPLAIN_OPERATOR,BUFFERS,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,COMM_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,CPU_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_OPERATOR,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
