ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp
575,575,0,7,13,2011-12-02 11:42:38.705,1219,1219,0,502,1,201111214,2011-11-21 08:15:07.282
576,576,0,999,0,2011-12-02 08:21:40.376,1210,1210,0,2003,0,999,2011-12-02 08:21:40.376
577,577,0,7,13,2011-11-21 10:48:19.029,1225,1225,0,502,0,201111214,2011-11-21 10:48:19.029
578,578,0,999,0,2011-11-30 22:26:22.258,5200,5200,0,2003,0,999,2011-11-30 20:14:04.715
579,579,0,66,12,2011-12-02 17:45:21.768,1231,1231,0,506,0,20111223,2011-12-02 17:45:21.768
580,580,0,66,12,2011-12-02 20:41:38.167,1100,500,0,506,0,20111223,2011-12-02 17:25:47.370
581,581,0,999,0,2011-12-02 11:31:58.654,1215,1215,0,2003,0,999,2011-12-02 11:31:58.654
582,582,0,999,0,2011-12-01 21:56:42.687,13400,2003,0,11900,0,999,2011-12-01 21:52:54.378
583,583,0,999,0,2011-12-02 12:44:33.086,1207,1207,0,2003,0,999,2011-12-02 12:44:33.086
584,584,0,999,0,2011-12-02 07:14:14.568,1206,1206,0,2003,1,999,2011-12-02 07:13:14.071
585,585,0,999,0,2011-12-01 23:57:46.141,1226,1226,0,2003,0,999,2011-12-01 23:57:46.141
586,586,0,66,12,2011-12-02 23:00:34.974,15500,10100,0,506,1,20111223,2011-12-02 17:57:15.885
587,587,0,999,0,2011-12-01 21:35:00.114,13400,2003,0,11900,0,999,2011-12-01 21:31:11.805
588,588,0,999,0,2011-12-01 22:08:38.236,13400,2003,0,11900,0,999,2011-12-01 22:04:49.727
589,589,0,999,0,2011-12-02 07:11:01.230,1204,1204,0,2003,0,999,2011-12-02 07:11:01.230
590,590,0,66,12,2011-12-02 23:22:10.427,15400,10100,0,502,0,20111223,2011-12-02 17:58:43.181
592,592,0,999,0,2011-12-01 00:03:22.107,1221,1221,0,2003,0,999,2011-12-01 00:03:22.107
593,593,0,999,0,2011-12-01 14:45:49.211,5200,5200,0,2003,1,999,2011-11-30 18:32:50.941
595,595,0,8,13,2011-12-01 11:32:43.612,1222,1222,0,506,0,201111301,2011-12-01 11:32:43.612
596,596,0,67,12,2011-12-02 23:24:26.032,15200,10100,0,506,0,20111215,2011-12-01 17:23:23.235
597,597,0,8,4,2011-11-21 18:33:59.826,1500,1800,0,1800,0,999,2011-11-21 17:49:53.501
598,598,0,999,0,2011-11-30 22:56:34.384,5200,5200,0,2003,0,999,2011-11-30 22:39:39.905
599,599,0,999,0,2011-11-30 22:22:28.182,5200,5200,0,2003,0,999,2011-11-30 20:06:21.999
600,600,0,999,0,2011-12-02 18:34:48.104,13400,2003,0,10900,0,999,2011-12-02 18:30:10.715
