ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp,source
704,704,0,999,0,2011-12-02 08:08:01.238,1210,1210,0,2003,0,999,2011-12-02 08:08:01.238,NOT_SET
705,705,0,66,12,2011-12-02 23:29:52.532,15500,10100,0,502,0,20111223,2011-12-02 18:27:43.794,NOT_SET
706,706,0,999,0,2011-12-03 00:48:44.316,2030,403,0,3700,0,999,2011-12-01 20:19:57.679,NOT_SET
708,708,0,999,0,2011-12-01 23:59:20.647,1226,1226,0,2003,0,999,2011-12-01 23:59:20.647,NOT_SET
709,709,0,999,0,2011-11-30 22:35:19.491,5200,5200,0,2003,0,999,2011-11-30 22:11:23.035,NOT_SET
711,711,0,66,12,2011-12-02 16:21:03.635,1231,1231,0,506,0,20111223,2011-12-02 16:21:03.635,NOT_SET
712,712,0,96,11,2011-11-28 17:06:31.399,1229,1229,0,506,0,201111286,2011-11-28 17:06:31.399,NOT_SET
713,713,0,66,12,2011-12-02 20:45:18.073,1233,1233,0,502,0,20111223,2011-12-02 20:45:18.073,NOT_SET
714,714,0,66,12,2011-12-02 20:10:51.371,1232,1232,0,502,0,20111223,2011-12-02 20:10:51.371,NOT_SET
715,715,0,999,0,2011-11-30 23:14:40.626,5200,5200,0,2003,0,999,2011-11-30 23:00:54.879,NOT_SET
716,716,0,999,0,2011-12-01 15:36:21.491,1221,1221,0,2003,0,999,2011-12-01 15:36:21.491,NOT_SET
717,717,0,999,0,2011-12-02 23:48:39.132,13500,2003,0,10900,0,999,2011-12-02 23:44:50.923,NOT_SET
718,718,0,999,0,2011-12-01 00:04:59.517,1221,1221,0,2003,0,999,2011-12-01 00:04:59.517,NOT_SET
719,719,0,96,11,2011-11-28 17:37:46.616,1229,1229,0,502,0,201111286,2011-11-28 17:37:46.616,NOT_SET
720,720,0,67,12,2011-12-02 22:17:12.783,1000,500,0,506,0,20111215,2011-12-01 17:15:59.227,NOT_SET
721,721,0,999,0,2011-12-02 18:19:35.992,13400,2003,0,1800,0,999,2011-12-02 18:15:47.243,NOT_SET
722,722,0,66,12,2011-12-02 16:07:57.505,1231,1231,0,506,0,20111223,2011-12-02 16:07:57.505,NOT_SET
723,723,0,999,0,2011-12-02 06:42:38.021,1204,1204,0,2003,0,999,2011-12-02 06:42:38.021,NOT_SET
724,724,0,999,0,2011-12-02 00:43:44.087,1226,1226,0,2003,0,999,2011-12-02 00:43:44.087,NOT_SET
725,725,0,67,12,2011-11-30 15:01:02.397,702,700,0,502,0,201111302,2011-11-30 12:20:57.246,NOT_SET
726,726,0,999,0,2011-11-30 22:38:07.613,5200,5200,0,2003,0,999,2011-11-30 22:17:14.731,NOT_SET
727,727,0,999,0,2011-12-03 00:47:14.607,2003,2003,0,10900,0,999,2011-12-02 22:39:30.566,NOT_SET
728,728,0,999,0,2011-11-30 23:22:15.080,1221,1221,0,2003,0,999,2011-11-30 23:22:15.080,NOT_SET
729,729,0,999,0,2011-11-30 14:26:50.817,800,2003,0,800,1,0000,2011-11-30 14:26:50.817,NOT_SET
730,730,0,999,0,2011-12-03 00:47:17.731,2002,2003,0,11900,1,999,2011-12-02 22:47:27.883,NOT_SET
731,731,0,999,0,2011-12-01 09:19:10.279,2005,2003,0,11900,1,999,2011-12-01 08:48:48.540,NOT_SET
732,732,0,2,13,2011-11-29 14:59:01.276,1218,1218,0,506,0,201111294,2011-11-29 14:59:01.276,NOT_SET
734,734,0,7,6,2011-11-21 10:50:44.328,1225,1225,0,405,0,0,2011-11-21 10:50:44.328,NOT_SET
735,735,0,72,11,2011-12-02 23:14:24.177,1223,1223,0,502,0,20111224,2011-12-02 23:14:24.177,NOT_SET
736,736,0,96,11,2011-11-28 17:07:55.009,1229,1229,0,502,0,201111286,2011-11-28 17:07:55.009,NOT_SET
737,737,0,66,12,2011-12-02 20:13:13.485,1232,1232,0,502,0,20111223,2011-12-02 20:13:13.485,NOT_SET
738,738,0,999,0,2011-11-30 22:36:18.105,5200,5200,0,2003,0,999,2011-11-30 22:12:58.943,NOT_SET
739,739,0,999,0,2011-12-02 12:17:59.725,1207,1207,0,2003,0,999,2011-12-02 12:17:59.725,NOT_SET
740,740,0,72,12,2011-12-01 19:32:36.514,1223,1223,0,502,0,20111215,2011-12-01 19:32:36.514,NOT_SET
741,741,0,66,12,2011-12-02 23:29:49.728,14600,10100,0,506,1,20111223,2011-12-02 18:43:34.250,NOT_SET
742,742,0,999,0,2011-12-02 22:58:19.229,300,403,0,11900,0,999,2011-12-02 22:03:45.572,NOT_SET
743,743,0,999,0,2011-12-02 09:53:20.715,1205,1205,0,2003,0,999,2011-12-02 09:53:20.715,NOT_SET
744,744,0,2,13,2011-11-29 16:29:14.400,1208,1208,0,506,0,201111294,2011-11-29 16:29:14.400,NOT_SET
745,745,0,66,12,2011-12-02 22:22:00.136,500,500,0,506,0,20111223,2011-12-02 17:55:02.483,NOT_SET
746,746,0,66,12,2011-12-02 13:44:19.513,1200,500,0,502,0,20111213,2011-12-01 02:21:22.203,NOT_SET
747,747,0,999,0,2011-12-02 11:08:02.289,1217,1217,0,2003,0,999,2011-12-02 11:08:02.289,NOT_SET
748,748,0,999,0,2011-12-01 00:08:11.113,1221,1221,0,2003,0,999,2011-12-01 00:08:11.113,NOT_SET
749,749,0,67,12,2011-12-02 22:13:54.277,1000,500,0,502,0,20111215,2011-12-01 17:12:21.284,NOT_SET
750,750,0,999,0,2011-12-02 10:22:45.893,1217,1217,0,2003,0,999,2011-12-02 10:22:45.893,NOT_SET
801,801,0,999,0,2011-12-02 12:46:58.385,1207,1207,0,2003,0,999,2011-12-02 12:46:58.385,NOT_SET
802,802,0,66,12,2011-12-02 17:14:51.136,1231,1231,0,506,0,20111223,2011-12-02 17:14:51.136,NOT_SET
804,804,0,72,12,2011-12-02 21:12:53.583,1223,1223,0,506,0,20111224,2011-12-02 21:12:53.583,NOT_SET
805,805,0,8,13,2011-12-01 12:24:47.394,1222,1222,0,506,0,201111301,2011-12-01 12:24:47.394,NOT_SET
806,806,0,7,13,2011-11-21 08:16:14.679,1219,1219,0,506,0,201111214,2011-11-21 08:16:14.679,NOT_SET
807,807,0,999,0,2011-12-02 08:50:41.199,1211,1211,0,2003,0,999,2011-12-02 08:50:41.199,NOT_SET
810,810,0,66,12,2011-12-02 22:19:46.383,500,500,0,506,0,20111223,2011-12-02 17:52:44.255,NOT_SET
811,811,0,7,13,2011-11-21 16:24:20.790,1225,1225,0,506,0,201111214,2011-11-21 16:24:20.790,NOT_SET
812,812,0,999,0,2011-12-02 12:45:46.121,1207,1207,0,2003,0,999,2011-12-02 12:45:46.121,NOT_SET
815,815,0,66,12,2011-12-02 19:59:32.134,1232,1232,0,502,0,20111223,2011-12-02 19:59:32.134,NOT_SET
